이름,발(아이콘),평점(아이콘),발(모먼트),평점(모먼트)
펠레,10,8.6,10,6.8
지네딘 지단,10,9.2,10,8.5
호나우두,10,8.2,10,6.4
요한 크루이프,10,8.5,10,8.2
게르트 뮐러,10,8.6,10,8.7
로타어 마테우스,10,9.2,10,9.4
마르코 반바스텐,9,8.6,10,8.1
페렌츠 푸스카스,8,8.4,9,8.4
파올로 말디니,9,8.8,10,8.8
로베르토 바조,10,8.2,10,9.2
잔루이지 부폰,7,10.0,7,7.5
차비,9,8.9,9,9.0
호나우지뉴,9,9.1,9,9.7
지쿠,10,8.8,10,9.0
프랑코 바레시,8,5.9,9,8.5
루드 굴리트,10,8.7,10,8.6
조지 베스트,9,8.8,10,9.2
보비 찰턴,10,9.3,10,9.2
에우제비우,10,8.7,10,8.7
가린샤,9,8.2,9,8.6
자이르지뉴,9,8.9,9,8.9
앨런 시어러,9,8.7,9,8.7
데이비드 베컴,9,8.3,9,9.2
호베르투 카를루스,7,9.7,8,9.4
알레산드로 네스타,8,9.1,8,8.1
티에리 앙리,9,8.1,10,8.8
카푸,9,9.4,9,7.4
카시야스,8,8.9,8,8.7
루이스 피구,9,8.5,10,10.0
안드레아 피를로,9,9.2,10,9.6
사뮈엘 에토,9,8.6,10,9.1
안드리 셰우첸코,10,8.4,10,8.2
디디에 드로그바,9,8.7,10,8.9
웨인 루니,9,9.2,10,9.4
카카,9,9.1,10,9.2
우고 산체스,9,8.3,10,9.0
에릭 칸토나,9,8.6,10,9.5
프랑크 레이카르트,9,9.2,9,8.2
델피에로,10,9.2,10,9.9
파비오 칸나바로,8,7.9,8,10.0
파트리크 비에이라,8,9.0,9,10.0
릴리앙 튀람,9,9.8,10,9.2
데니스 베르캄프,9,8.6,10,9.2
히바우두,7,9.0,8,9.2
마이클 오언,9,9.1,9,7.8
파벨 네드베드,10,9.5,10,9.2
로빈 반페르시,9,9.0,10,9.1
뤼트 반니스텔로이,9,8.2,9,8.7
미로슬라프 클로제,9,8.9,9,8.6
카를레스 푸욜,8,9.0,8,7.4
샤비 알론소,9,8.3,9,6.9
라울,9,9.1,9,8.3
필립 람,10,10.0,10,7.5
카를루스 아우베르투,9,9.3,9,8.9
보비 무어,8,9.8,9,4.7
차범근,10,8.9,10,8.5
케니 달글리시,10,8.8,10,8.2
로이 킨,8,9.3,8,8.2
폴 스콜스,8,9.2,9,6.7
하비에르 사네티,9,9.0,9,8.2
클라렌스 세이도르프,9,8.5,9,9.3
클로드 마켈렐레,8,9.8,8,8.4
미하엘 발락,9,8.1,10,9.3
H. 스토이치코프,8,9.8,9,9.5
프랭크 램파드,9,9.2,10,9.0
리오 퍼디난드,8,9.4,8,8.9
에르난 크레스포,9,8.6,10,7.2
스티븐 제라드,9,8.6,10,9.5
야야 투레,9,8.6,10,7.9
박지성,10,8.6,10,9.7
페트르 체흐,8,8.1,8,7.5
페르난도 토레스,9,9.0,10,9.1
B. 슈바인슈타이거,8,9.0,9,8.8
프랑크 리베리,10,8.6,10,10.0
페르난도 이에로,8,7.8,8,8.2
게오르게 하지,9,9.2,10,10.0
로날트 쿠만,8,10.0,8,9.5
가레스 베일,8,8.5,8,9.0
페터 슈마이켈,8,8.2,8,7.2
부트라게뇨,10,9.2,10,9.8
게리 리네커,9,9.1,10,9.5
로랑 블랑,8,8.4,8,10.0
이언 러시,9,8.2,10,8.9
후이 코스타,9,8.9,9,7.0
마르셀 드사이,8,8.5,8,7.7
에마뉘엘 프티,8,8.9,8,8.3
젠나로 가투소,8,9.2,9,4.9
잔루카 잠브로타,10,7.1,10,9.5
P. 클라위베르트,10,9.0,10,7.2
다비드 트레제게,9,6.5,10,8.4
베론,9,9.7,9,6.3
마이클 에시앙,9,8.9,9,8.5
에드윈 반데르사르,8,7.4,8,7.8
헨릭 라르손,9,9.6,10,9.7
네마냐 비디치,8,7.3,8,8.5
소크라테스,10,9.1,10,8.8
미카엘 라우드루프,10,9.0,10,9.1
이언 라이트,9,9.2,10,8.7
솔 캠벨,8,9.0,9,8.2
잔프랑코 졸라,10,9.0,10,8.2
로베르 피레스,9,9.0,9,7.9
야리 리트마넨,9,9.0,10,8.7
리켈메,9,9.6,9,6.6
애슐리 콜,8,9.7,8,9.5
파울루 푸트리,10,8.3,10,9.4
제이-제이 오코차,9,9.3,9,9.3
제이미 캐러거,8,8.9,8,4.7
프레디 융베리,9,7.8,10,8.2
루이스 에르난데스,8,7.6,8,6.7
다보르 슈케르,10,8.7,10,8.7
올레 군나르 솔샤르,9,9.4,10,9.8
존 반스,9,8.7,10,6.4
